1323,4,4,0,0
1324,4,668,87,0
1325,28,33,33,0
1326,28,27,0,0
1327,4,32,0,0
1328,4,8,65,0
1329,28,8,0,0
1330,28,25,5,0
1331,4,29,0,0
1332,28,14,0,0
1333,4,25,106,0
1334,4,6,0,0
1335,4,105,3,0
1336,4,206,7,0
1337,4,14,65,0
1338,4,33,67,0
1339,28,668,0,0
1340,7,33,200,0
1341,28,206,16,0
1342,16,30,7,0
1343,16,676,6,0
1344,4,27,3,0
1345,29,33,0,0
1346,30,33,15,0
1347,27,210,17,0
1348,30,25,0,0
1349,30,6,1,0
1350,30,30,12,0
1351,21,27,0,0
1352,30,15,20,0
1353,21,25,0,0
1354,5,124,9,0
1355,5,126,10,0
1356,21,668,6,0
1357,30,105,0,0
1358,30,29,4,0
1359,5,25,55,0
1360,5,27,20,0
1361,21,106,0,0
1362,21,107,0,0
1363,30,206,0,0
1364,30,14,0,0
1365,4,102,0,0
1366,4,109,0,0
1367,4,650,0,0
1368,4,677,0,0
1369,30,27,0,0
1370,30,8,15,0
1371,28,210,1,0
1372,31,8,47,0
1373,31,656,30,0
1374,31,666,23,0
1375,31,657,57,0
1376,31,672,30,0
1377,31,37,30,0
1378,31,659,27,0
1379,31,104,30,0
1380,31,106,30,0
1381,31,113,29,0
1382,31,658,30,0
1383,31,662,44,0
1384,31,25,5,0
1385,31,668,48,0
1386,21,211,0,0
1387,21,206,0,0
1388,21,6,0,0
1389,21,33,0,0
1390,30,126,1,0
1391,21,14,0,0
1392,30,677,0,0
1393,30,106,0,0
1394,32,657,16,0
1395,32,672,10,0
1396,32,666,2,0
1397,32,113,0,0
1398,32,658,14,0
1399,32,37,22,0
1400,32,656,3,0
1401,32,650,15,0
1402,32,40,15,0
1403,32,668,100,0
1404,32,115,13,0
1405,32,25,30,0
1406,32,8,21,0
1407,32,662,60,0
1408,32,14,9,0
1409,32,33,5,0
1410,30,210,0,0
1411,30,211,0,0
1412,21,30,0,0
1413,21,101,0,0
1414,4,210,1,0
1415,4,101,0,0
1416,21,29,0,0
1417,21,8,0,0
1418,1131,8,50,0
1419,4,30,0,0
1420,1133,33,0,0
1421,28,105,0,0
1422,10,664,6,0
1423,10,206,1,0
1424,28,26,0,0
1425,15,14,0,0
1426,10,668,23,0
1427,1135,107,0,0
1428,1135,668,0,0
1429,1135,25,0,0
1430,1135,106,0,0
1431,1135,102,0,0
1432,28,35,529,0
1433,1134,102,0,0
1434,1134,101,10,0
1435,1134,30,8,0
1436,1134,6,14,0
1437,1134,104,5,0
1438,1134,106,0,0
1439,1134,107,4,0
1440,1134,105,0,0
1441,28,30,0,0
1442,1137,14,0,0
1443,1137,8,0,0
1444,1139,8,60,0
1445,8,25,0,0
1446,1140,129,2,0
1447,1140,27,267,0
1448,1140,666,3,0
1449,1140,134,0,0
1450,1140,206,1,0
1451,1140,668,182,0
1452,1140,105,0,0
1453,1140,135,0,0
1454,1137,105,0,0
1455,1140,652,0,0
1456,1140,25,0,0
1457,1140,133,0,0
1458,1140,28,0,0
1459,1140,30,0,0
1467,28,129,0,0
1464,4,211,1,0
1466,28,666,20,0
1465,1140,676,0,0
1468,1146,14,0,0
1469,27,206,1,0
1470,1137,206,0,0
1471,1137,34,0,0
1472,1137,129,0,0
1473,1137,666,0,0
1474,1137,30,0,0
1475,1140,136,0,0
1476,1140,103,0,0
1477,4,408,1,0
1478,1137,35,0,0
1479,1137,210,0,0
1480,1132,656,0,0
1481,1132,6,0,0
1482,1132,668,5,0
1483,1132,30,4,0
1484,1132,676,1,0
1485,1132,102,0,0
1486,1132,105,0,0
1487,1140,6,0,0
1488,1140,8,0,0
1489,1151,14,25,0
1490,14,35,0,0
1491,20,416,2,0
1492,20,126,3,0
1493,4,34,0,0
1494,17,668,16,0
1495,17,657,0,0
1496,1153,35,20,0
1497,1140,15,0,0
1498,1132,35,65,0
1499,1155,107,0,0
1500,1155,104,3,0
1501,1139,14,388,0
1502,27,6,0,0
1503,27,30,2,0
1504,27,668,0,0
1505,1132,14,29,0
1506,1139,6,0,0
1507,1139,105,0,0
1508,1139,25,0,0
1509,1139,30,0,0
1510,1139,206,0,0
1511,20,206,0,0
1512,28,652,8,0
1513,1155,105,0,0
1514,1155,102,0,0
1515,1155,30,6,0
1516,1139,15,0,0
1517,1157,35,0,0
1518,1136,8,159,0
1519,1157,34,0,0
1520,1155,664,0,0
1521,1155,106,0,0
1522,30,676,1,0
1523,30,35,0,0
1524,1155,25,7,0
1525,1158,6,0,0
1526,1158,30,0,0
1527,28,133,6,0
1528,1150,6,0,0
1529,1150,30,4,0
1530,1150,35,369,0
1531,1162,211,10,0
1532,1162,101,10,0
1533,1162,6,7,0
1534,1162,210,3,0
1535,1162,408,1,0
1536,1162,206,7,0
1537,1162,105,0,0
1538,1161,35,0,0
1539,1140,125,0,0
1540,1161,206,1,0
1541,1150,206,2,0
1542,1150,133,3,0
1543,1150,668,8,0
1544,1150,105,1,0
1545,1139,133,0,0
1546,28,416,1,0
1547,28,439,1,0
1548,1136,206,1,0
1549,1136,30,2,0
1550,1136,6,1,0
1551,4,146,0,0
1552,1162,104,10,0
1553,28,34,52,0
1554,4,13,1,0
1555,1163,652,50,0
1556,1136,25,25,0
1557,1166,8,7,0
