800161,steam:110000136fb5753,Faggio,55628203,3000,81TOU423,,,0,1,"{""color"":{""secondary"":{""green"":16,""red"":97,""blue"":9,""type"":6},""primary"":{""green"":26,""red"":0,""blue"":11,""type"":6},""pearlescent"":56},""mods"":[],""tyreburst"":{""green"":255,""red"":255,""blue"":255,""enabled"":0},""wheels"":{""color"":156,""type"":0},""windows"":0,""neons"":{""green"":255,""red"":255,""blue"":255,""enabled"":0}}",Albert,Bentley,1
800162,steam:11000011ae72435,Faggio,55628203,3000,60QBC405,"[1000.0,1000]",,0,1,"{""color"":{""secondary"":{""green"":72,""red"":189,""blue"":0,""type"":6},""primary"":{""green"":3,""red"":38,""blue"":11,""type"":6},""pearlescent"":30},""mods"":[],""tyreburst"":{""green"":255,""red"":255,""blue"":255,""enabled"":0},""wheels"":{""color"":156,""type"":0},""windows"":0,""neons"":{""green"":255,""red"":255,""blue"":255,""enabled"":0}}",Armand,Bentley,1
800166,steam:1100001101366d8,Blista,-344943009,5000,80TNV612,"[1000.0,1000]",Barrio,0,1,"{""color"":{""secondary"":{""green"":8,""red"":8,""blue"":8,""type"":6},""primary"":{""green"":8,""red"":8,""blue"":8,""type"":6},""pearlescent"":1},""mods"":[],""tyreburst"":{""green"":255,""red"":255,""blue"":255,""enabled"":0},""wheels"":{""color"":156,""type"":0},""windows"":0,""neons"":{""green"":255,""red"":255,""blue"":255,""enabled"":0}}",Salvador,Juan,1
800171,steam:110000104bda9cf,Blista,-344943009,5000,05EGH897,,,0,1,"{""color"":{""secondary"":{""blue"":8,""green"":8,""red"":8,""type"":6},""pearlescent"":1,""primary"":{""blue"":8,""green"":8,""red"":8,""type"":6}},""wheels"":{""color"":156,""type"":0},""windows"":0,""tyreburst"":{""blue"":255,""green"":255,""red"":255,""enabled"":0},""mods"":[],""neons"":{""blue"":255,""green"":255,""red"":255,""enabled"":0}}",Fernandez,Tonio,1
800172,steam:110000107caa6f0,Faggio,55628203,3000,48YZX798,,,0,1,"{""color"":{""secondary"":{""blue"":15,""green"":15,""red"":15,""type"":6},""pearlescent"":112,""primary"":{""blue"":135,""green"":124,""red"":119,""type"":6}},""wheels"":{""color"":156,""type"":0},""windows"":0,""tyreburst"":{""blue"":255,""green"":255,""red"":255,""enabled"":0},""mods"":[],""neons"":{""blue"":255,""green"":255,""red"":255,""enabled"":0}}",Balzin,Jean,1
800176,steam:11000010c65f4e3,Faggio,55628203,3000,83GEL969,"",,0,1,"{""color"":{""secondary"":{""blue"":8,""green"":8,""red"":8,""type"":6},""pearlescent"":111,""primary"":{""blue"":102,""green"":94,""red"":90,""type"":6}},""wheels"":{""color"":156,""type"":0},""windows"":0,""tyreburst"":{""blue"":255,""green"":255,""red"":255,""enabled"":0},""mods"":[],""neons"":{""blue"":255,""green"":255,""red"":255,""enabled"":0}}",Theo,Hernandez,1
800177,steam:110000109890bfd,Regina,-14495224,7000,46IOR365,"[398.62390136719,923]",,0,1,"{""color"":{""secondary"":{""blue"":8,""green"":8,""red"":8,""type"":6},""pearlescent"":0,""primary"":{""blue"":165,""green"":192,""red"":207,""type"":6}},""wheels"":{""color"":156,""type"":0},""windows"":0,""tyreburst"":{""blue"":255,""green"":255,""red"":255,""enabled"":0},""mods"":[],""neons"":{""blue"":255,""green"":255,""red"":255,""enabled"":0}}",Pendergast,Carson,1
800178,steam:11000010971d03b,Faggio,55628203,3000,64QXR557,,,0,1,"{""color"":{""secondary"":{""blue"":8,""green"":8,""red"":8,""type"":6},""pearlescent"":5,""primary"":{""blue"":71,""green"":59,""red"":50,""type"":6}},""wheels"":{""color"":156,""type"":0},""windows"":0,""tyreburst"":{""blue"":255,""green"":255,""red"":255,""enabled"":0},""mods"":[],""neons"":{""blue"":255,""green"":255,""red"":255,""enabled"":0}}",0,0,1
800179,steam:110000109731681,Faggio,55628203,3000,89FHN080,,,0,1,"{""color"":{""secondary"":{""blue"":8,""green"":8,""red"":8,""type"":6},""pearlescent"":111,""primary"":{""blue"":102,""green"":94,""red"":90,""type"":6}},""wheels"":{""color"":156,""type"":0},""windows"":0,""tyreburst"":{""blue"":255,""green"":255,""red"":255,""enabled"":0},""mods"":[],""neons"":{""blue"":255,""green"":255,""red"":255,""enabled"":0}}",0,0,1
800180,steam:110000101ec5657,Faggio,55628203,3000,83VOJ710,,,0,1,"{""color"":{""secondary"":{""blue"":10,""green"":10,""red"":74,""type"":6},""pearlescent"":31,""primary"":{""blue"":10,""green"":10,""red"":74,""type"":6}},""wheels"":{""color"":156,""type"":0},""windows"":0,""tyreburst"":{""blue"":255,""green"":255,""red"":255,""enabled"":0},""mods"":[],""neons"":{""blue"":255,""green"":255,""red"":255,""enabled"":0}}",0,0,1
