3,Négligé,skincreator,mp_m_freemode_01,1500,0,0,15,0,22,1,5,0,12,6,0,0,0,0,0,0,0,0
2,Mauvais Goût,skincreator,mp_m_freemode_01,1500,5,0,15,0,5,0,12,0,6,0,0,0,0,0,0,0,0,0
1,Bronzage,skincreator,mp_m_freemode_01,1500,5,0,15,0,5,7,16,11,16,9,0,0,0,0,0,0,0,0
4,Ordinaire,skincreator,mp_m_freemode_01,1500,6,0,5,0,3,0,2,11,7,0,0,0,0,0,0,0,0,0
5,Le Quartier,skincreator,mp_m_freemode_01,1500,6,0,5,2,7,0,7,12,9,0,0,0,0,0,0,0,0,0
6,Sportif,skincreator,mp_m_freemode_01,1500,6,0,0,3,3,15,3,15,2,6,0,0,0,0,0,0,0,0
21,Gangsta,skincreator,mp_f_freemode_01,1500,4,0,15,0,5,0,3,0,1,3,0,0,0,0,0,0,0,0
22,Garçon manqué,skincreator,mp_f_freemode_01,1500,3,0,14,0,3,1,1,4,1,0,0,0,0,0,0,0,0,0
23,Normale,skincreator,mp_f_freemode_01,1500,4,0,14,0,0,11,1,4,1,0,0,0,0,0,0,0,0,0
24,Jeune,skincreator,mp_f_freemode_01,1500,1,0,0,9,1,11,8,7,3,5,0,0,0,0,0,0,0,0
25,Sportive,skincreator,mp_f_freemode_01,1500,1,0,22,2,10,0,14,0,11,0,0,0,0,0,0,0,0,0
26,Diablesse,skincreator,mp_f_freemode_01,1500,15,0,15,0,4,13,2,2,11,3,0,0,0,0,0,0,0,0
7,Street,skincreator,mp_m_freemode_01,1500,4,0,15,0,14,13,9,7,1,2,0,0,0,0,0,0,0,0
8,Loveur,skincreator,mp_m_freemode_01,2000,4,0,21,1,4,2,20,0,18,0,0,0,0,0,0,0,0,0
9,Plage,skincreator,mp_m_freemode_01,750,5,0,15,1,17,2,14,12,34,0,0,0,0,0,0,0,0,0
10,Motard,skincreator,mp_m_freemode_01,1500,4,0,27,2,37,1,24,0,26,1,0,0,0,0,0,0,0,0
11,Barman,skincreator,mp_m_freemode_01,2000,11,0,7,0,40,1,20,0,15,2,0,0,0,0,0,0,0,0
