steam:1100001003a9102,mp_m_freemode_01,"[0,0,0,0.1,0,0,0,0,0,0,-0.099999999999999,0,0,0,0,0,0,0,0,-1.5]",0,21,32,27,1,1,0,1,0,0,1,8,0,0
--steam:110000108378030,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7,0,0,0,0,0,0]",8,33,59,3,27,0,5,7,0,0,0,0,0,0
steam:1100001040759e7,mp_m_freemode_01,"[3.0,-0.55,1.0,1.0,0.35,0.95,-1.5,-0.1,0.1,0.5,1.1,-1.0,-1.0,0.5,0.8,0,2.0,0,0,0]",12,25,3,26,18,26,2,0,0,0,0,0,0,0
steam:11000010ce5670a,mp_m_freemode_01,"[0,0,0,0,0,0,1.75,-1.0,0,0.4,0.95,0,0,0,0,0,0,0,0,0]",3,24,0,0,8,0,0,0,0,0,0,0,0,0
steam:110000112eedc1b,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,25,21,2,11,0,2,0,0,0,0,0,0,0
steam:11000010b613f7a,mp_m_freemode_01,"[0.85,-0.3,0.25,0.1,-0.05,-0.9,0.45,-1.0,0.9,-0.6,-1.35,-1.0,-0.7,0.25,-0.8,-0.7,-0.85,-0.45,0.8,-1.5]",0,29,57,0,10,0,9,3,0,0,0,0,0,0
steam:110000102904d97,mp_m_freemode_01,"[0,0,0,0,0,0,1.55,-1.0,0,0,-1.5,-0.4,0,0,0,0,0,0,0,0]",44,22,3,1,11,0,0,0,0,0,0,0,0,0
steam:110000112911cc3,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,26,1,0,10,0,0,0,0,0,0,0,0,0
steam:11000010d5dce31,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,31,32,0,27,0,0,0,0,0,0,0,0,0
steam:110000114061f62,mp_m_freemode_01,"[0.2,-0.15,0,0,0,0,0,0,0,0,0.8,-0.05,-1.0,0.35,-0.25,-0.15,0,0.5,-2.0,0.7]",0,24,14,61,6,0,12,0,0,0,0,0,0,0
steam:11000010b25c942,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,29,19,60,10,0,2,0,0,0,0,0,0,0
steam:11000011c9ff36e,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,29,9,0,8,0,1,0,0,0,0,0,0,0
steam:11000011473017d,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,37,3,12,12,0,3,0,0,0,0,0,0,0
steam:11000010c4bcdc8,mp_m_freemode_01,"[-0.2,-1.0,1.0,0.25,-0.25,-0.050000000000001,1.05,-1.0,-0.9,1.0,-1.5,0.2,-0.15,0.55,0.15,-0.3,0,0,0,0.6]",0,29,3,27,7,0,0,0,0,0,0,0,0,0
steam:110000139714d27,mp_m_freemode_01,"[-1.0,-1.0,0.45,0.2,0.05,0.2,-0.95,-1.0,-0.2,0.65,-1.2,-1.0,0.7,1.7,-1.5,0.55,0.1,-0.25,-0.3,-0.05]",0,22,4,55,10,2,1,2,0,0,0,0,0,0
steam:110000132df2392,mp_m_freemode_01,"[-0.2,-0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,29,1,15,3,0,29,0,0,0,0,0,0,0
steam:11000010b27405f,mp_m_freemode_01,"[-0.35,-0.15,0.25,0,0,0,0.6,0.55,0.05,0,0.3,0.35,1.3877787807814e-17,0.05,0,0.35,0,0,0,0]",4,24,14,0,10,1,0,4,0,0,0,0,0,0
steam:11000013598c992,mp_m_freemode_01,"[-1.0,-1.0,-2.0,-0.75,-0.3,0.3,-0.3,0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0]",12,24,14,3,0,0,0,3,0,0,0,0,0,0
steam:11000010e84de23,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,27,7,0,0,0,30,0,0,0,0,0,0,0
steam:1100001131693ba,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,21,57,9,18,9,0,1,0,0,0,0,0,0
steam:1100001117c7d70,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,25,3,2,5,0,2,0,0,0,0,0,0,0
steam:110000134918378,mp_m_freemode_01,"[0.15,-0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",7,31,3,1,2,1,15,2,0,0,0,0,0,0
steam:110000111ed0438,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",4,26,4,4,10,0,1,0,0,0,0,0,0,0
steam:110000135218513,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,26,1,1,10,0,1,1,0,0,0,0,0,0
steam:110000108ddbb03,mp_m_freemode_01,"[3.0,-0.35,0.45,0.2,0.25,-0.35,0.5,0.4,0.05,0.3,0.65,0.1,-1.0,0.3,-0.75,0.55,-0.15,0.4,-1.45,0.45]",11,41,4,0,16,0,22,0,0,0,0,0,0,0
steam:110000132d1be3c,mp_m_freemode_01,"[2.95,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",4,22,16,56,10,1,20,1,0,0,0,0,0,0
steam:110000109081570,mp_m_freemode_01,"[1.0,-0.25,1.0,0,0,0,0,-0.85,0.6,0,0,0,0.35,0,0,0,0,0,0,-1.5]",0,24,24,0,0,0,6,3,0,0,0,0,0,0
steam:11000010dbec0f1,mp_m_freemode_01,"[0.05,0,0,0,0,0,0,0.1,-1.0,0,0,0,0,0,0,0,0,0,0,0]",2,24,1,27,10,0,2,1,0,0,0,0,0,0
steam:110000132ba653a,mp_m_freemode_01,"[0,0.15,0,0,0,0,0,0,0.05,-0.35,-1.3877787807814e-17,0,0,0,0,0,0,0,0,0.85]",2,23,8,0,18,0,0,0,0,0,0,0,0,0
steam:11000010ed30bc8,mp_m_freemode_01,"[0.65,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,1.6]",2,23,24,29,3,0,29,0,0,0,0,0,0,0
steam:1100001360b2be6,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,31,3,0,29,0,0,0,0,0,0,0,0,0
steam:11000011622803a,mp_m_freemode_01,"[2.1,0.75,0.7,-1.3877787807814e-17,0,1.3877787807814e-17,-0.8,-0.75,-0.25,0.15,0.8,0.5,-1.0,-0.2,1.3877787807814e-17,1.0,0.3,0.1,0.15,-0.1]",0,24,8,0,5,0,0,2,0,0,0,0,0,0
steam:110000101bc5bcc,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2,22,38,2,3,3,19,1,0,0,0,0,0,0
steam:110000108fc7421,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",4,26,2,4,10,3,0,4,0,0,0,0,0,0
steam:110000109890bfd,mp_m_freemode_01,"[-0.65,0.75,-1.25,-1.2,0.5,0.15,0.25,0.8,-1.05,0.5,0.7,0.9,0.9,0.5,0.55,0.4,0.35,-0.05,0.35,-0.8]",20,29,19,3,10,3,1,0,0,0,0,0,0,0
steam:110000136ad4229,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",43,29,14,0,3,0,0,0,0,0,0,0,0,0
steam:110000112bb41f2,mp_m_freemode_01,"[0.8,0,0,-4.0245584642662e-16,-0.3,0.15,0.05,-0.05,0.85,0.4,0.85,-0.2,-0.45,-0.8,0,0,0,0,0,0]",11,22,2,3,2,3,3,3,0,0,0,0,0,0
steam:1100001028a971d,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,21,12,0,10,0,0,0,0,0,0,0,0,0
steam:1100001343679fd,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",4,26,19,8,2,60,5,3,0,0,0,0,0,0
steam:1100001003a9102,mp_m_freemode_01,"[0,0,0,0.1,0,0,0,0,0,0,-0.099999999999999,0,0,0,0,0,0,0,0,-1.5]",44,24,32,27,11,0,12,0,0,0,1,8,0,0
steam:1100001178fe593,mp_m_freemode_01,"[-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",14,29,14,0,7,0,1,1,0,0,0,0,0,0
steam:110000137588ead,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0]",0,22,19,27,10,0,2,0,0,0,0,0,0,0
steam:110000112285fa2,mp_m_freemode_01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,21,0,0,0,0,0,0,0,0,0,0,0,0
