2123,weed,quelqu'un vend de la weed ?,2019-03-11 01:13:02
2124,slurp,salut mes zbibounets,2019-03-11 19:37:58
2125,weed,Moi,2019-03-12 22:02:13
2126,bloodsganng,#Lock : Connectés,2019-03-13 16:10:39
2127,bloodsganng,hush,2019-03-13 16:11:08
2128,bloodsganng,Merci de m'avoir attendu en tout cas,2019-03-13 17:44:01
2129,bloodsganng,On doit aller chercher un gars,2019-03-13 17:44:19
2130,bloodsganng,fuck,2019-03-13 17:44:21
2131,bloodsganng,#Lock : Prochaine fois que tu écris un truc de ce genre Cali je te plante,2019-03-13 17:44:21
2132,mecano,oh djadja,2019-03-13 18:53:56
2133,weed,Tu vend combien ?,2019-03-13 19:09:26
2134,armes,Quelqu'un vend des armes ?,2019-03-13 19:12:49
2135,cocaine,Quelqu'un vend de la cocaine ? Je suis en manque !,2019-03-13 19:46:29
2136,ecstasy,Quelqu'un vend de l'ecsta ? R,2019-03-13 19:47:37
2137,munition,Je cherche le circuit ! R,2019-03-13 19:48:00
2138,armes,R,2019-03-13 19:48:06
2139,cocaine,R,2019-03-13 19:48:10
2140,blanchiment,Je possède le circuit de weed. Je l'échange contre le blanchiment ou je suis prêt à payer en argent sale. J'ai actuellement 250000€ d'argent sale. V,2019-03-13 19:49:09
2141,yep,salut tout le monde,2019-03-14 14:29:12
2142,darknet,bonjour,2019-03-14 18:23:35
2143,banane,test,2019-03-14 23:29:04
2144,banane,!,2019-03-14 23:29:09
2145,banane,Batte : 4k puis 5k / Cut : 6k,2019-03-14 23:31:18
2146,blue,Hello,2019-03-15 00:34:47
2147,blue,amigo,2019-03-15 00:35:11
2148,blue,Batte : 5k / Cut : 6k,2019-03-15 00:35:40
2149,gazelle,#Lock : Connectés,2019-03-15 12:15:49
2150,gazelle,test,2019-03-15 12:15:51
2151,gazelle,#Lock : Tu es en ville E ?,2019-03-15 19:38:19
2152,weed,yo,2019-03-15 20:06:16
2153,weed,ou est-ce qu'on peut en chopper,2019-03-15 20:06:26
2154,weed,Viens me voir,2019-03-15 20:06:36
2155,weed,ou ca ?,2019-03-15 20:06:47
2156,weed,Je te donne une position plus tard dans la soirée,2019-03-15 20:07:02
2157,weed,pas de problème,2019-03-15 20:07:26
2158,weed,comment être sur que tu n'es pas un poulet,2019-03-15 20:08:36
2159,argent,"Yo, je cherche un plan fiable pour du cash sur Los Santos",2019-03-15 20:10:46
2160,weed,j'emmerde les flics,2019-03-15 20:12:15
2161,weed,des gros fdp,2019-03-15 20:12:22
2162,hamdulleh,bande de batardd,2019-03-15 20:17:23
2163,bloods,Bande de sale négro,2019-03-15 20:25:41
2164,taxis,yo,2019-03-15 23:20:12
2165,kfcpoulet,.,2019-03-16 12:57:39
2166,zigui,92,2019-03-16 16:59:27
2167,gazelle,#Lock : Les verts sont armée,2019-03-16 17:01:02
2168,zigui,"cannabis : mora,mike,moktar",2019-03-16 17:01:27
2169,zigui,je vais essayer de trouver des info sur mora,2019-03-16 17:19:05
2170,zigui,je pourrais avoir une arme au cas ou sa se passe mal ?,2019-03-16 17:23:42
2171,zigui,"non pas d'armes, faites comme vous faisiez avant",2019-03-16 17:24:15
2172,zigui,ok,2019-03-16 17:24:49
2173,zigui,et un vehicul payer par la police ?,2019-03-16 17:29:25
2174,zigui,vous maviez dit que c'etais remunerer,2019-03-16 17:29:56
2175,zigui,rémunération et suppression casier sur RESULTATS !,2019-03-16 17:30:47
2176,zigui,et si je vous livre mora ?,2019-03-16 17:31:17
2177,zigui,les trois seraient bien,2019-03-16 17:52:57
2178,zigui,j'ai moktar et mora,2019-03-16 17:53:27
2179,zigui,mais pas mike,2019-03-16 17:53:38
2180,zigui,vous etes où ?,2019-03-16 17:54:08
2181,zigui,on est 4 ce dirigeant vers le champ,2019-03-16 17:55:53
2182,zigui,il parle d'un russe yuri,2019-03-16 17:56:11
2183,zigui,ok,2019-03-16 17:56:58
2184,zigui,qui donne les info,2019-03-16 17:57:02
2185,zigui,vous venez au chanp ?,2019-03-16 17:57:18
2186,zigui,maintenant ?,2019-03-16 17:58:43
2187,zigui,oui vite,2019-03-16 17:59:00
2188,zigui,bon boulot,2019-03-16 18:45:21
2189,zigui,merci,2019-03-16 18:45:32
2190,zigui,"votre casier est à moitié effacé, nous faut un autre coup pour le supprimer entièrement",2019-03-16 18:53:04
2191,zigui,c'était un braquage on ne peut pas supprimer en une fois,2019-03-16 18:53:16
2192,zigui,je comprend,2019-03-16 18:53:34
2193,zigui,mais la ils mont dit que pour payer l'amende ce ne sera pas legal,2019-03-16 18:54:26
2194,zigui,du coup je leur ai proposer de faire un nouveau gang comme ca pour moi ce sera plus facile de vous dire les gens,2019-03-16 18:55:27
2195,zigui,je suis sur un nouveau coup avec les meme je vous tiend au courrant quand j'en sais plus,2019-03-16 19:25:57
2196,zigui,je pourrais peut-etre avoir votre numéro ?,2019-03-16 19:29:23
2197,zigui,et ce que j'ai fais est remunerer ?,2019-03-16 19:39:10
2198,zigui,ok,2019-03-16 19:39:33
2199,zigui,travailler les un peu et revenez vers moi plus tard,2019-03-16 19:39:44
2200,zigui,dsl je n'ai pas que vous à traiter et négatif pour le numéro de téléphone vous me contacter ici merci,2019-03-16 19:39:59
2201,zigui,ok,2019-03-16 19:40:08
2202,zigui,le gang jaune vous interesse ?,2019-03-17 02:51:07
2203,zigui,je sais que c'est culoté mais pour avencer dans mon enquete j'ai besoins de savoir tous les emplacement de drogue,2019-03-17 02:53:11
